actor,films,film_votes,votes_per_film,directors
Perla Bautista,1,1,1.00,Lino Brocka
Pernell Roberts,1,1,1.00,Budd Boetticher
Peter Brogle,1,1,1.00,Werner Herzog
Peter Chatel,1,1,1.00,Rainer Werner Fassbinder
Peter Flak,1,1,1.00,Klaus Wyborny
Péter Haumann,1,1,1.00,György Fehér
Peter Lindgren,1,1,1.00,Vilgot Sjöman
Peter Melnick,1,1,1.00,Michael Snow
Peter Mullan,1,1,1.00,Ken Loach
Peter Nestler,1,1,1.00,Jean-Marie Straub/Danièle Huillet
Peter O'Toole,1,1,1.00,Bernardo Bertolucci
Peter Sallis,1,1,1.00,Nick Park
Peter Schlesinger,1,1,1.00,Jack Hazan
Peter Sellars,1,1,1.00,Jean-Luc Godard
Peter Tork,1,1,1.00,Bob Rafelson
Peter Weller,1,1,1.00,Paul Verhoeven
Peter Whitehead,1,1,1.00,Peter Whitehead
Petr Kopriva,1,1,1.00,Jaromil Jires
Phil Daniels,1,1,1.00,Mike Leigh
Phil Harris,1,1,1.00,Walt Disney Production
Philippe Avron,1,1,1.00,Juraj Jakubisko
Philippe Clévenot,1,1,1.00,Med Hondo
Philippe Hériat,1,1,1.00,Alberto Cavalcanti
Philippe Lacoste,1,1,1.00,Jean-Luc Godard
Philippe Léotard,1,1,1.00,Fernando Solanas
Philippe Leroy,1,1,1.00,Jacques Becker
Philippe Rouleau,1,1,1.00,Michel Deville
Phillip Williamson,1,1,1.00,Derek Jarman
Phillips Holmes,1,1,1.00,Ernst Lubitsch
Phoebe Brand,1,1,1.00,Louis Malle
Pia Degermark,1,1,1.00,Bo Widerberg
Piero Lulli,1,1,1.00,Giulio Questi
Pierre Arditi,1,1,1.00,Roberto Rossellini
Pierre Barouh,1,1,1.00,Claude Lelouch
Pierre Blanchard,1,1,1.00,Ousmane Sembène
Pierre Concha,1,1,1.00,Alain Cavalier
Pierre Lestringuez,1,1,1.00,Jean Renoir
Pink Floyd,1,1,1.00,Peter Whitehead
Piotr Alexandrov,1,1,1.00,Aleksandr Sokurov
Piotr Jagielski,1,1,1.00,Dorota Kedzierzawska
Piotr Masokha,1,1,1.00,Aleksandr Dovzhenko
Piotr Soholevski,1,1,1.00,Kozintsev and Leonid Trauberg
Polina Piekovska,1,1,1.00,Carl Theodor Dreyer
Pomeroy Cannon,1,1,1.00,Rex Ingram
Porfiri Podobed,1,1,1.00,Lev Kuleshov
Prakash Rai,1,1,1.00,Mani Ratnam
Preity Zinta,1,1,1.00,Mani Ratnam
Professor Pakstas,1,1,1.00,Jonas Mekas
Pyotr Sobolevsky,1,1,1.00,Grigori Kozintsev/Leonid Trauberg
Raana Azadivar,1,1,1.00,Abbas Kiarostami
Rachel Kempson,1,1,1.00,Tony Richardson
Rachel Korine,1,1,1.00,Harmony Korine
Rachel Ward,1,1,1.00,Lee Stanley
Rachid Amrani,1,1,1.00,Tariq Teguia
Radoslav Brzobohaty,1,1,1.00,Karel Kachyna
Rafael Rivelles,1,1,1.00,Ladislao Vajda
Raizo Ichikawa,1,1,1.00,Mizoguchi Kenji
Ralph Graves,1,1,1.00,D.W. Griffith
Ralph Macchio,1,1,1.00,Francis Ford Coppola
Ramesh Mukherjee,1,1,1.00,Satyajit Ray
Ramiro Arbelaez,1,1,1.00,Carlos Mayolo/Luis Ospina
Ramon Novarro,1,1,1.00,Ernst Lubitsch
Randolph Scott,1,1,1.00,Budd Boetticher
Ranjana Srivastava,1,1,1.00,Mani Kaul
Rashid Farooqi,1,1,1.00,Mehreen Jabbar
Rasmané Ouédraogo,1,1,1.00,Idrissa Ouedraogo
Raul Fraire,1,1,1.00,Raymundo Gleyzer
Raul Schnoor,1,1,1.00,Mario Peixoto
Ray McAnally,1,1,1.00,Roland Joffé
Ray Milland,1,1,1.00,Fritz Lang
Raymond Burr,1,1,1.00,Ishirô Honda
Raymond Cordy,1,1,1.00,René Clair
Raymond Johnson,1,1,1.00,John Coney
Red West,1,1,1.00,Ramin Bahrani
Reese Witherspoon,1,1,1.00,Alexander Payne
Reikichi Kawamura,1,1,1.00,Shimizu Hiroshi
Renate Krößner,1,1,1.00,Konrad Wolf
Renee Leblanc,1,1,1.00,Jonathan Caouette
Reni Santoni,1,1,1.00,Don Siegel
Reza Kianian,1,1,1.00,Bahman Farmanara
Rhonda Bell,1,1,1.00,James Benning
Ricardo Darín,1,1,1.00,Fabián Bielinsky
Ricardo Trêpa,1,1,1.00,Manoel de Oliveira
Riccardo Salvino,1,1,1.00,Lina Wertmuller
Richa Vyas,1,1,1.00,Mani Kaul
Richard Arlen,1,1,1.00,Erle C Kenton
Richard Belgrave,1,1,1.00,Ken Loach
Richard Bohringer,1,1,1.00,Peter Greenaway
Richard Farnsworth,1,1,1.00,David Lynch
Richard Jenkins,1,1,1.00,Adam McKay
Richard Jordan,1,1,1.00,Woody Allen
Richard Kind,1,1,1.00,Joel & Ethan Coen
Richard Lapp,1,1,1.00,Budd Boetticher
Richard Lord,1,1,1.00,Frederick Wiseman
Richard Todd,1,1,1.00,Otto Preminger
Richard Webb,1,1,1.00,Raoul Walsh
Riki Takeuchi,1,1,1.00,Miike Takashi
Rimi Sen,1,1,1.00,Sriram Raghavan
Rinaldo Smordoni,1,1,1.00,Vittorio De Sica
Rishi Kapoor,1,1,1.00,Manmohan Desai
Rita Christiani,1,1,1.00,Maya Deren
Rita Forzano,1,1,1.00,Roberto Rossellini
Rita Meiden,1,1,1.00,Catherine Breillat
Riz Ahmed,1,1,1.00,Michael Winterbottom
Rob Brydon,1,1,1.00,Michael Winterbottom
Robbie Robinson,1,1,1.00,Bob Dylan/D.A. Pennebaker
Robert Arthur,1,1,1.00,Billy Wilder
Robert Ayres,1,1,1.00,Roy Ward Baker
Robert Carlyle,1,1,1.00,Ken Loach
Robert Carradine,1,1,1.00,Samuel Fuller
Robert Clarke,1,1,1.00,Ida Lupino
Robert Culp,1,1,1.00,Paul Mazursky
Robert Donat,1,1,1.00,Alfred Hitchcock
Robert Enright,1,1,1.00,Guy Maddin
Robert Fontaine,1,1,1.00,Ousmane Sembène
Robert Forster,1,1,1.00,Quentin Tarantino
Robert Francis,1,1,1.00,John Ford
Robert Hays,1,1,1.00,Jim Abrahams/David & Jerry Zucker
Robert Herron,1,1,1.00,Mark Rappaport
Robert Kramer,1,1,1.00,Thomas Harlan
Robert Manuel,1,1,1.00,Jules Dassin
Robert Newton,1,1,1.00,Carol Reed
Robert Perrea,1,1,1.00,John Gianvito
Robert Stephens,1,1,1.00,Billy Wilder
Robert Webber,1,1,1.00,Sam Peckinpah
Roberto Bataglin,1,1,1.00,Nelson Pereira dos Santos
Roberto Villanueva,1,1,1.00,Hugo Santiago
Robin Williams,1,1,1.00,Peter Weir
Rod Mullinar,1,1,1.00,Richard Franklin
Roddy Piper,1,1,1.00,John Carpenter
Rodrigo Ureta,1,1,1.00,Raúl Ruiz
Roger Coggio,1,1,1.00,Orson Welles
Roger Duchesne,1,1,1.00,Jean-Pierre Melville
Roger Hawa,1,1,1.00,Maroun Baghdadi
Roger Pigaut,1,1,1.00,Joris Ivens
Roland Bertin,1,1,1.00,Med Hondo
Rolf Lassgård,1,1,1.00,Susan Brier
Rolla France,1,1,1.00,René Clair
Romeo Giro,1,1,1.00,Werner Schroeter
Romola Garai,1,1,1.00,Joe Wright
Romuald Joubé,1,1,1.00,Abel Gance
Ron Livingston,1,1,1.00,Mike Judge
Ron Moody,1,1,1.00,Lionel Bart
Ron O'Neal,1,1,1.00,Gordon Parks Jr
Ron Perlman,1,1,1.00,Marc Caro/Jean-Pierre Jeunet
Ronald Allen,1,1,1.00,Roy Ward Baker
Ronald Shiner,1,1,1.00,Maurice Elvey
Rooney Mara,1,1,1.00,David Fincher
Rosanna Schiaffino,1,1,1.00,Pier Paolo Pasolini
Rosario Dawson,1,1,1.00,Quentin Tarantino
Rosario Granados,1,1,1.00,Luis Buñuel
Rose Dione,1,1,1.00,Alla Nazimova
Rose Hobart,1,1,1.00,Rouben Mamoulian
Roshan Seth,1,1,1.00,Michael Winterbottom
Rosie Perez,1,1,1.00,Peter Weir
Rosita Quintana,1,1,1.00,Luis Buñuel
Rossano Brazzi,1,1,1.00,Goffredo Alessandrini
Rowshan Jamil,1,1,1.00,Ritwik Ghatak
Roya Nonahali,1,1,1.00,Bahman Farmanara
Ruby Keeler,1,1,1.00,Busby Berkeley
Rudolf Forster,1,1,1.00,G W Pabst
Rudolf Hrusínsky,1,1,1.00,Juraj Herz
Rudolph Valentino,1,1,1.00,Rex Ingram
Rupert Doone,1,1,1.00,Len Lye
Rupert Graves,1,1,1.00,James Ivory
Russell Means,1,1,1.00,Michael Mann
Ruth Sheen,1,1,1.00,Mike Leigh
Ruzica Sokic,1,1,1.00,Dusan Makavejev
Ry Cooder,1,1,1.00,Wim Wenders
Ryo Ikebe,1,1,1.00,Shinoda Mashiro
Ryoko Hirosue,1,1,1.00,Yôjirô Takita
Ryu Seung-wan,1,1,1.00,Lee Chang-dong
Ryuichi Sakamoto,1,1,1.00,Oshima Nagisa
S. Nazir,1,1,1.00,Kamal Amrohi
Sab Shimono,1,1,1.00,Scott McGehee/David Siegel
Sabina Sacchi,1,1,1.00,João César Monteiro
Sabine Azéma,1,1,1.00,Alain Resnais
Sabine Haudepin,1,1,1.00,Luc Moullet
Safar Samandar,1,1,1.00,Jafar Panahi
Sagamore Stévenin,1,1,1.00,Catherine Breillat
Sahar Khalifeh,1,1,1.00,Michael Khleifi
Sahika Tekand,1,1,1.00,Omer Kavur
Saiso Pirkko,1,1,1.00,Pirjo Honkasalo
Salime Feiza,1,1,1.00,Majid Majidi
Sally Field,1,1,1.00,Martin Ritt
Sally Forrest,1,1,1.00,Ida Lupino
Saly Badji,1,1,1.00,Otar Iosseliani
Sam Dalton,1,1,1.00,James Williamson
Sam Rockwell,1,1,1.00,Garth Jennings
Samantha Eggar,1,1,1.00,David Cronenberg
Samira Kaddour,1,1,1.00,Tariq Teguia
Samit Bhanja,1,1,1.00,Satyajit Ray
Sanae Takasugi,1,1,1.00,Mizoguchi Kenji
Sándor Horváth,1,1,1.00,András Kovács
Sandra Bullock,1,1,1.00,Paul Haggis
Sandrine Kiberlain,1,1,1.00,Stéphane Brizé
Sandy Mcleod,1,1,1.00,Bette Gordon
Sanja Spengler,1,1,1.00,Fred Kelemen
Santiago Gifalt,1,1,1.00,Albertina Carri
Sara Allgood,1,1,1.00,Alfred Hitchcock
Sarah Adler,1,1,1.00,Jean-Luc Godard
Sarajevo Orchestra,1,1,1.00,Theodoros Angelopoulos
Satako Kasai,1,1,1.00,Suzuki Seijun
Saturnin Fabre,1,1,1.00,Julien Duviver
Saverio Marconi,1,1,1.00,Paolo and Vittorio Taviani
Scarlett Johansson,1,1,1.00,Woody Allen
Scott Ian,1,1,1.00,Sacha Gervasi
Sean Astin,1,1,1.00,Richard Donner
Sean Barrett,1,1,1.00,John Akomfrah
Sebastian Cabot,1,1,1.00,Walt Disney Production
Seema Biswas,1,1,1.00,Deepa Mehta
Semyon Shagaida,1,1,1.00,Aleksandr Dovzhenko
Serge Livrozet,1,1,1.00,Laurent Cantet
Serge Yanogo,1,1,1.00,Gaston Kaboré
Sergei Barkovsky,1,1,1.00,Aleksandr Sokurov
Sergei Gerasimov,1,1,1.00,Kozintsev and Leonid Trauberg
Sergei Komarov,1,1,1.00,Boris Barnet
Sergei Makovetsky,1,1,1.00,Alexey Balabanov
Sergei Trifunović,1,1,1.00,Srdjan Spasojevic
Sergio Castellitto,1,1,1.00,Marco Bellocchio
Serpil Turhan,1,1,1.00,Thomas Arslan
Sesha Palihakkara,1,1,1.00,Lester James Peries
Seth Green,1,1,1.00,Woody Allen
Severine Oueddouda,1,1,1.00,Gaston Kaboré
Shabnam Toloui,1,1,1.00,Marzieh Meshini
Shani Wallis,1,1,1.00,Lionel Bart
Sharad Kumar,1,1,1.00,Richard Attenborough
Shari Eubank,1,1,1.00,Russ Meyer
Shayesteh Irani,1,1,1.00,Jafar Panahi
Shefali Shah,1,1,1.00,Mira Nair
Sheila Canfield,1,1,1.00,Peter Greenaway
Shigeru Tsuyuguchi,1,1,1.00,Imamura Shohei
Shijaku Katura,1,1,1.00,Toshio Matsumoto
Shimon Dzigan,1,1,1.00,Natan Gross
Shirley Stoler,1,1,1.00,Leonard Kastle
Sho Aihara,1,1,1.00,Miike Takashi
Shohreh Aghdashloo,1,1,1.00,Abbas Kiarostami
Shoichi Gosho,1,1,1.00,Shimizu Hiroshi
Shoichi Ozawa,1,1,1.00,Imamura Shohei
Shuji Terayama,1,1,1.00,Terayama Shuji
Shusaku Shimamura,1,1,1.00,Shimizu Hiroshi
Sid Vicious,1,1,1.00,Julian Temple
Sidney Blackmer,1,1,1.00,Fritz Lang
Sidney James,1,1,1.00,Maurice Elvey
Sigalon Sagna,1,1,1.00,Otar Iosseliani
Silvana Pampanini,1,1,1.00,Giuseppe De Santis
Silvano Rey,1,1,1.00,Tomás Gutiérrez Alea
Silvia Casanova,1,1,1.00,Javier Fesser
Silvia Monfort,1,1,1.00,Agnès Varda
Sima Mobarakshai,1,1,1.00,Jafar Panahi
Simon Chuckster,1,1,1.00,Melvin van Peebles
Simon Pegg,1,1,1.00,Edgar Wright
Simona Binyamini,1,1,1.00,Amos Gitai
Slobodan Aligrudic,1,1,1.00,Dusan Makavejev
Sm Todd,1,1,1.00,Mark Rappaport
Snezana Niksic,1,1,1.00,Matjaz Klopcic
Sol Kyung-koo,1,1,1.00,Lee Chang-dong
Soledad Miranda,1,1,1.00,Pere Portabella
Solomon Glave,1,1,1.00,Andrea Arnold
Somapala Dharmapriya,1,1,1.00,Lester James Peries
Somsri Pinyopol,1,1,1.00,Apichatpong Weerasethakul
Sonia Petrova,1,1,1.00,Valerio Zurlini
Sophie Magarill,1,1,1.00,Kozintsev and Leonid Trauberg
Soraya Khoury,1,1,1.00,Maroun Baghdadi
Spanky Manikan,1,1,1.00,Ishmael Bernal
Spec O'Donnell,1,1,1.00,Fred Guiol
Speed Hacker,1,1,1.00,Kenneth Anger
Srdan Todorovic,1,1,1.00,Srdjan Spasojevic
Stacy Keach,1,1,1.00,John Huston
Star Calloway,1,1,1.00,Oscar Micheaux
Stathis Giallelis,1,1,1.00,Elia Kazan
Stefan Güttler,1,1,1.00,Werner Herzog
Stefania Sabatini,1,1,1.00,Jacques Rozier
Stella Stevens,1,1,1.00,Jerry Lewis
Stéphane Audran,1,1,1.00,Claude Chabrol
Stephen Dwoskin,1,1,1.00,Stephen Dwoskin
Stephen Rea,1,1,1.00,Neil Jordan
Stephen Root,1,1,1.00,Mike Judge
Steve Coogan,1,1,1.00,Michael Winterbottom
Steve Harris,1,1,1.00,Steven Spielberg
Steve Jones,1,1,1.00,Julien Temple
Steve McQueen,1,1,1.00,John Sturges
Steve Packard,1,1,1.00,George Kuchar
Steven Hufsteter,1,1,1.00,Alex Cox
Stockard Channing,1,1,1.00,Fred Schepisi
Stub Wiberg,1,1,1.00,Carl Theodor Dreyer
Subhendu Chatterjee,1,1,1.00,Satyajit Ray
Suchitra Sen,1,1,1.00,Bimal Roy
Suh Jung,1,1,1.00,Kim Ki Duk
Sultan Khan,1,1,1.00,Richard Attenborough
Sumi Shimamoto,1,1,1.00,Miyazaki Hayao
Sun Ra,1,1,1.00,John Coney
Susan Baker,1,1,1.00,Ken Russell
Susan Penhaligon,1,1,1.00,Richard Franklin
Susana Lanteri,1,1,1.00,Raymundo Gleyzer
Susanne Ottesen,1,1,1.00,Lars von Trier
Susú Pecoraro,1,1,1.00,Fernando Solanas
Suzette Velasco,1,1,1.00,Raya Martin
Suzie Naceur,1,1,1.00,Mohamed Zinet
Syd Barrett,1,1,1.00,Peter Whitehead
Sydney Chaplin,1,1,1.00,Charles Chaplin
Syed Hussain,1,1,1.00,Mehreen Jabbar
Sylvia Ivalu,1,1,1.00,Zacharias Kunuk
Sylvia Rabenreither,1,1,1.00,Gerald Kargl
Sylvia Sidney,1,1,1.00,Fritz Lang
Sylvia Syms,1,1,1.00,Basil Dearden
Sylvie Bréal,1,1,1.00,Alain Robbe-Grillet
T.K. Ramakrishnan,1,1,1.00,Richard Attenborough
Tab Hunter,1,1,1.00,John Huston
Taciana Rei,1,1,1.00,Mario Peixoto
Tadeusz Lomnicki,1,1,1.00,Krzysztof Kieslowski
Takashi Fujiki,1,1,1.00,Shinoda Mashiro
Takeshi Naito,1,1,1.00,Koreeda Hirokazu
Takeshi Sakamoto,1,1,1.00,Shimizu Hiroshi
Tang Wei,1,1,1.00,Ang Lee
Tanya Smith,1,1,1.00,Kelly Reichardt
Taro Apollo,1,1,1.00,Terayama Shuji
Tatiana Doronina,1,1,1.00,Vladimir Vengerov
Tatiana Drubich,1,1,1.00,Sergei Solovyov
Tatsumi Hijikata,1,1,1.00,Ogawa Shinsuke
Tatsuo Umemiya,1,1,1.00,Fukasaku Kinji
Tatum O'Neal,1,1,1.00,Michael Ritchie
Tayerou M'baye,1,1,1.00,Djibril Diop Mambéty
Taylor Momsen,1,1,1.00,Gus van Sant
Teddy Bilis,1,1,1.00,Jean Renoir
Telly Savalas,1,1,1.00,Roger Vadim
Teresa Menezes,1,1,1.00,Manoel de Oliveira
Teresa Szmigielówna,1,1,1.00,Jerzy Kawalerowicz
Terry Higgins,1,1,1.00,Kevin Brownlow
Tetsu Watanabe,1,1,1.00,Kitano Takeshi
Tetsuo Abe,1,1,1.00,Oshima Nagisa
Tetsurô Tanba,1,1,1.00,Shinoda Masahiro
Tetsuya Watari,1,1,1.00,Fukasaku Kinji
The Plugz,1,1,1.00,Alex Cox
Thembi Mtshali,1,1,1.00,Oliver Schmitz
Theodore Roberts,1,1,1.00,Cecil B DeMille
Theresa Chan,1,1,1.00,Eric Koo
Thérèse Giehse,1,1,1.00,Louis Malle
Thia Gonzales,1,1,1.00,John Gianvito
Thierry Labelle,1,1,1.00,Alain Cavalier
Thierry Rode,1,1,1.00,Jean-Luc Godard
Thomas Harlan,1,1,1.00,Robert Kramer
Thomas Langmann,1,1,1.00,Chantal Akerman
Thomas Mogotlane,1,1,1.00,Oliver Schmitz
Thorleif Reiss,1,1,1.00,Carl Theodor Dreyer
Throbbing Gristle,1,1,1.00,Derek Jarman
Ti Lung,1,1,1.00,Kar-leung Lau
Tianna Sansbury,1,1,1.00,Phillip Noyce
Tim Curry,1,1,1.00,Jim Sharman
Timothy Olyphant,1,1,1.00,Xavier Gens
Timothy Treadwell,1,1,1.00,Werner Herzog
Timur Tursuniv,1,1,1.00,Bakhtiyar Khudoinazarov
Tina Apicella,1,1,1.00,Luchino Visconti
Tisa Farrow,1,1,1.00,James Toback
Tito Junco,1,1,1.00,Alberto Gout
Tito Larriva,1,1,1.00,Alex Cox
Tiziana Ambretti,1,1,1.00,Werner Schroeter
To Tsung-hua,1,1,1.00,Hsiao-hsien Hou
Toby Stephens,1,1,1.00,Martha Fiennes
Tod Andrews,1,1,1.00,Ida Lupino
Todd Armstrong,1,1,1.00,Don Chaffey
Tohahiro Sato,1,1,1.00,Katsuhito Ishii
Tom Blair,1,1,1.00,Jon Jost
Tom Conti,1,1,1.00,Oshima Nagisa
Tom Keene,1,1,1.00,Ed Wood
Tom Noonan,1,1,1.00,Tom Noonan
Tom Schimmels,1,1,1.00,Chris Smith
Tom Walls,1,1,1.00,Basil Dearden
Tom Wilson,1,1,1.00,Charles Chaplin
Tomas Milian,1,1,1.00,Giulio Questi
Toni Collette,1,1,1.00,Todd Haynes
Tony Gray,1,1,1.00,Bob Godfrey
Tony Huurdeman,1,1,1.00,Paul Verhoeven
Tony Kendall,1,1,1.00,Mario Bava
Tony Raggetti,1,1,1.00,Giorgio Bianchi
Tor Johnson,1,1,1.00,Ed Wood
Tora Vasilescu,1,1,1.00,Mircea Daneliuc
Tore Svennberg,1,1,1.00,Victor Sjöström
Toshihiko Nakano,1,1,1.00,Kurosawa Akira
Toshiyuki Hosokawa,1,1,1.00,Yoshishige Yoshida
Tove Tellback,1,1,1.00,Carl Theodor Dreyer
Toyah Willcox,1,1,1.00,Derek Jarman
Travis Nicholson,1,1,1.00,Harmony Korine
Trevor Landell,1,1,1.00,Andrew Kotting
Trey Parker,1,1,1.00,Trey Parker
Tricia Vessey,1,1,1.00,Claire Denis
Tseshang Rigzin,1,1,1.00,Tian Zhuangzhuang
Tsuyoshi Ihara,1,1,1.00,Clint Eastwood
Tsuyoshi Ujiki,1,1,1.00,Kurosawa Kiyoshi
Tyann Means,1,1,1.00,Albert Brooks
Uday Shankar,1,1,1.00,Uday Shankar
Ugo Tognazzi,1,1,1.00,Marco Ferreri
Umberto Orsini,1,1,1.00,Tony Richardson
Umeko Obayashi,1,1,1.00,Mizoguchi Kenji
Urmila Unni,1,1,1.00,Adoor Gopalakrishnan
Ursula Ofner,1,1,1.00,Jean-Marie Straub/Danièle Huillet
Vaclav Helsus,1,1,1.00,Jan Svankmajer
Vadim Semenov,1,1,1.00,Aleksandr Sokurov
Vaiba Flomo,1,1,1.00,Gini Reticker
Vakhtang Kikabidze,1,1,1.00,George Danelia
Val Avery,1,1,1.00,John Cassavetes
Valentina Scalici,1,1,1.00,Gianni Amelio
Valeria Ciangottini,1,1,1.00,Valerio Zurlini
Valeria Golino,1,1,1.00,Barry Levinson
Valerie Kaplanová,1,1,1.00,Karel Kachyna
Valérie Lemercier,1,1,1.00,Claire Denis
Valerij Fedorenko,1,1,1.00,Fred Kelemen
Valery Inkijinoff,1,1,1.00,Vsevolod Pudovkin
Van Nath,1,1,1.00,Rithy Panh
Vanessa Ferlito,1,1,1.00,Quentin Tarantino
Vanessa Paradis,1,1,1.00,Patrice Leconte
Vangelis Mourikis,1,1,1.00,Athina Tsangari
Vassili Shukshin,1,1,1.00,Vasili Shukshin
Vera Javanovic,1,1,1.00,Dusan Makavejev
Veronika Zilková,1,1,1.00,Jan Svankmajer
Vic Morrow,1,1,1.00,Michael Ritchie
Vicente Salinas,1,1,1.00,Jorge Sanjinés
Victoire Rousseau,1,1,1.00,Mia Hansen-Løve
Victor Banerjee,1,1,1.00,David Lean
Victor Jory,1,1,1.00,Arthur Penn
Victor Proncet,1,1,1.00,Raymundo Gleyzer
Victor Spinetti,1,1,1.00,John Krish
Viktor Avdyushko,1,1,1.00,Vladimir Vengerov
Vinah Benile,1,1,1.00,Lionel Rogosin
Vinod Khanna,1,1,1.00,Manmohan Desai
Virginia Fox,1,1,1.00,Buster Keaton
Virginia Marshall,1,1,1.00,Frank Borzage
Vishka Asayesh,1,1,1.00,Abbas Kiarostami
Vishnupant Pagnis,1,1,1.00,Vishnupant Govind Damle/Sheikh Fattelal
Vitaly Solomin,1,1,1.00,Andrei Konchalovsky
Vittorina Pisano,1,1,1.00,Vittorio De Seta
Vitus Zeplichal,1,1,1.00,Rainer Werner Fassbinder
Vitya Kosykh,1,1,1.00,Elem Klimov
Viveca Lindfors,1,1,1.00,Jerry Schatzberg
Vladimir Gaidarov,1,1,1.00,Carl Theodor Dreyer
Vladimir Lenin,1,1,1.00,Dziga Vertov
Vladimir Samoilov,1,1,1.00,Andrei Konchalovsky
Vladimir Vega,1,1,1.00,Ken Loach
Vlasta Chramostová,1,1,1.00,Juraj Herz
Wallace Beery,1,1,1.00,Raoul Walsh
Wally Dalton,1,1,1.00,Kelly Reichardt
Walter Janssen,1,1,1.00,Fritz Lang
Walter Slezak,1,1,1.00,Carl Theodor Dreyer
Wanda Rothgardt,1,1,1.00,Carl Theodor Dreyer
Ward Bond,1,1,1.00,Nicholas Ray
Wassily Liwanow,1,1,1.00,Konrad Wolf
Wendy Hughes,1,1,1.00,Gillian Armstrong
Werke Abraha,1,1,1.00,Haile Gerima
Werner Mann,1,1,1.00,Jean-Marie Straub/Danièle Huillet
Werner Peters,1,1,1.00,Wolfgang Staudte
Wilfred Pickles,1,1,1.00,John Schlesinger
Will Hay,1,1,1.00,Marcel Varnel
Will Oldham,1,1,1.00,Kelly Reichardt
Will Patton,1,1,1.00,Bette Gordon
Will Smith,1,1,1.00,Fred Schepisi
William Devane,1,1,1.00,John Flynn
William Finley,1,1,1.00,Brian De Palma
William Greaves,1,1,1.00,William Greaves
William Mcinnes,1,1,1.00,Adam Elliot
William Petersen,1,1,1.00,Michael Mann
William Prince,1,1,1.00,Raoul Walsh
William Ruane,1,1,1.00,Ken Loach
Wolfgang Reichmann,1,1,1.00,Werner Herzog
Wolfgang Schenck,1,1,1.00,Rainer Werner Fassbinder
Won Bin,1,1,1.00,Bong Joon-ho
Won-sop Sin,1,1,1.00,Yong-Kyun Bae
Woody Harrelson,1,1,1.00,Oliver Stone
Xu Huan,1,1,1.00,Lee Sun-fung
Xu Linge,1,1,1.00,Wáng Píng
Yatsuko Tanami,1,1,1.00,Naruse Mikio
Yavuz Bingöl,1,1,1.00,Nuri Bilge Ceylan
Yi Hyo-jeong,1,1,1.00,Im Kwon-taek
Yilmaz Güney,1,1,1.00,Yilmaz Güney
Yisroel Schumacher,1,1,1.00,Natan Gross
Yoana Gonen,1,1,1.00,Roee Rosen
Yolande Beaulieu,1,1,1.00,Dimitri Kirsanoff
Yoshiko Mita,1,1,1.00,Teshigahara Hiroshi
Yoshiko Tanaka,1,1,1.00,Imamura Shohei
Yoshiko Tanaki,1,1,1.00,Terayama Shuji
Youki Kudoh,1,1,1.00,Jim Jarmusch
Yuharu Atsuta,1,1,1.00,Wim Wenders
Yuko Kusunoki,1,1,1.00,Yoshishige Yoshida
Yumiko Nogowa,1,1,1.00,Suzuki Seijun
Yunya Usami,1,1,1.00,Tomu Uchida
Yuri Yurev,1,1,1.00,Abram Room
Yuseef Lateef,1,1,1.00,Shirley Clarke
Yves Beneyton,1,1,1.00,Claude Goretta
Yvonne Clech,1,1,1.00,Louis Malle
Z. Bonyadi,1,1,1.00,Sohrab Shahid Saless
Zacharia Mgabi,1,1,1.00,Lionel Rogosin
Zachary Scott,1,1,1.00,Michael Curtiz
Zahra Yasdani,1,1,1.00,Sohrab Shahid Saless
Zhang Zhizhi,1,1,1.00,Yonggang Wu
Zhou Xun,1,1,1.00,Sijie Dai
Zigrida Lorentse,1,1,1.00,Aivars Freimanis
Zinaida Kirienko,1,1,1.00,Yuliya Solntseva
Zoé Auclair,1,1,1.00,Lucile Hadzihalilovic
Zohra Lampert,1,1,1.00,John D Hancock
Zooey Deschanel,1,1,1.00,Garth Jennings
Zouheir Ramadan,1,1,1.00,Oussama Mohammed
Zouher Abdel-karim,1,1,1.00,Oussama Mohammed
Zuzana Krónerová,1,1,1.00,Jan Svankmajer
Zygmunt Malanowicz,1,1,1.00,Roman Polanski
Ahmet Rifat Sungar,1,1,1.00,Nuri Bilge Ceylan
Allan De Wall,1,1,1.00,Lars von Trier
Amber De Grauw,1,1,1.00,Raúl Ruiz
Anita Mui Yim-fong,1,1,1.00,Kar-leung Lau
Ann Marie Duff,1,1,1.00,Leonard Abrahamson
Annie Shizuka Inoh,1,1,1.00,Hsiao-hsien Hou
Anthony Wong Chau-sang,1,1,1.00,Andrew Lau/Alan Mak
Argus Speare Juilliard,1,1,1.00,Jonas Mekas
Artika Sari Devi,1,1,1.00,Garin Nugroho
Asatu Bah Kenneth,1,1,1.00,Gini Reticker
Bahman Farman Ara,1,1,1.00,Bahman Farmanara
Benedicta Mendoza Huanca,1,1,1.00,Jorge Sanjinés
Benicio del Toro,1,1,1.00,Alejandro González Iñárritu
Bernard Le Coq,1,1,1.00,Maurice Pialat
Bruce Lee Siu-lung,1,1,1.00,Robert Clouse
C. Thomas Howell,1,1,1.00,Francis Ford Coppola
Charles De Rochefort,1,1,1.00,Cecil B DeMille
Charles Emmett Mack,1,1,1.00,D.W. Griffith
Charles Hill Mailes,1,1,1.00,D.W. Griffith
Chiew Sung Ching,1,1,1.00,Eric Koo
Coco Le Martiniquais,1,1,1.00,Jean Genet
